,RefSeq mRNA ID,Transcript stable ID
1053,,ENST00000720258
1054,,ENST00000837541
1055,,ENST00000721806
1056,,ENST00000837542
1057,,ENST00000720260
1058,,ENST00000721807
1059,,ENST00000837543
1060,,ENST00000720262
1061,,ENST00000721808
1062,,ENST00000837544
1063,,ENST00000721809
1064,,ENST00000720264
1065,,ENST00000837545
1066,,ENST00000721810
1067,,ENST00000720265
1068,,ENST00000838297
1069,,ENST00000721811
1070,,ENST00000721812
1071,,ENST00000720266
1072,,ENST00000721813
1073,,ENST00000720267
1074,,ENST00000766850
1075,,ENST00000766851
1076,,ENST00000720268
1077,,ENST00000766852
1078,,ENST00000720269
1079,,ENST00000766853
1080,,ENST00000720270
1081,,ENST00000766854
1082,,ENST00000720271
1083,,ENST00000766855
1084,,ENST00000720272
1085,,ENST00000767000
1086,,ENST00000767001
1087,,ENST00000720273
1088,,ENST00000767002
1089,,ENST00000720274
1090,,ENST00000767003
1091,,ENST00000720275
1092,,ENST00000767004
1093,,ENST00000767005
1094,,ENST00000767006
1095,,ENST00000767007
1096,,ENST00000767008
1097,,ENST00000767009
1098,,ENST00000767010
1099,,ENST00000767011
1100,,ENST00000767012
1101,,ENST00000767201
1102,,ENST00000613230
1103,,ENST00000400754
1104,,ENST00000823175
1105,,ENST00000823176
1106,,ENST00000757881
1107,,ENST00000823177
1108,,ENST00000757882
1109,,ENST00000823178
1110,,ENST00000823179
1111,,ENST00000757883
1112,,ENST00000823180
1113,,ENST00000757884
1114,,ENST00000823181
1115,,ENST00000757885
1116,,ENST00000823182
1117,,ENST00000757886
1118,,ENST00000823183
1119,,ENST00000757887
1120,,ENST00000823184
1121,,ENST00000757888
1122,,ENST00000823185
1123,,ENST00000757889
1124,,ENST00000823186
1125,,ENST00000615130
1126,,ENST00000757890
1127,,ENST00000823187
1128,,ENST00000616292
1129,,ENST00000823188
1130,,ENST00000757891
1131,,ENST00000618998
1132,,ENST00000618675
1133,,ENST00000823189
1134,,ENST00000757892
1135,,ENST00000753247
1136,,ENST00000823190
1137,,ENST00000757893
1138,,ENST00000823191
1139,,ENST00000778730
1140,,ENST00000757894
1141,,ENST00000823192
1142,,ENST00000824539
1143,,ENST00000757895
1144,,ENST00000824540
1145,,ENST00000823333
1146,,ENST00000757896
1147,,ENST00000824541
1148,,ENST00000823334
1149,,ENST00000757897
1150,,ENST00000824542
1151,,ENST00000823335
1152,,ENST00000757898
1153,,ENST00000849365
1154,,ENST00000823336
1155,,ENST00000757899
1156,,ENST00000849366
1157,,ENST00000823337
1158,,ENST00000849367
1159,,ENST00000758018
